rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
5328.0;115500.0;391500.0;3;1.0;2611.0;112.0;2897.0;44.0;7679.0;1301.0;3505.0;3314.0;10493.0;9813.0;7589.0;24062.0;4574.0;18619.0;229.0;5.0;5978.0;51.0;2.0;0.0;6.0
5334.0;121500.0;391500.0;3;0.0;415.0;1002.0;782.0;327.0;4516.0;4357.0;3651.0;1203.0;10872.0;5377.0;7456.0;25855.0;1539.0;20998.0;366.0;0.0;8344.0;51.0;1.0;0.0;6.0
5337.0;124500.0;391500.0;3;0.0;504.0;1533.0;928.0;585.0;3981.0;4013.0;4007.0;1649.0;9923.0;4603.0;7330.0;24869.0;1731.0;21582.0;353.0;3.0;9076.0;51.0;1.0;0.0;6.0
5338.0;125500.0;391500.0;1;0.0;0.0;889.0;470.0;567.0;3560.0;3627.0;3627.0;649.0;8985.0;3928.0;7340.0;23884.0;2371.0;22195.0;567.0;0.0;9855.0;20.0;18.0;0.0;6.0
5339.0;126500.0;391500.0;2;0.0;382.0;496.0;874.0;274.0;3363.0;3363.0;3363.0;239.0;8063.0;3416.0;7484.0;22901.0;3202.0;22836.0;108.0;4.0;9676.0;51.0;1.0;0.0;6.0
5341.0;128500.0;391500.0;6;0.0;1505.0;316.0;2065.0;266.0;3450.0;3450.0;3450.0;2229.0;6288.0;3187.0;8143.0;20938.0;5050.0;24191.0;664.0;5.0;7738.0;51.0;1.0;0.0;6.0
5343.0;130500.0;391500.0;6;0.0;959.0;0.0;1410.0;616.0;3784.0;3784.0;2771.0;2812.0;5460.0;3521.0;8614.0;19959.0;6011.0;24898.0;188.0;5.0;6782.0;60.0;11.0;33.84000015258789;6.0
5346.0;133500.0;391500.0;2;0.0;860.0;0.0;1826.0;325.0;4902.0;2223.0;1371.0;2782.0;4043.0;4780.0;9207.0;18007.0;7961.0;26369.0;96.0;5.0;4922.0;60.0;11.0;33.93000030517578;6.0
5347.0;134500.0;391500.0;3;0.0;377.0;0.0;1377.0;298.0;5516.0;1472.0;401.0;3260.0;3551.0;5550.0;8700.0;17035.0;8944.0;27129.0;186.0;3.0;4043.0;60.0;12.0;33.63999938964844;6.0
5348.0;135500.0;391500.0;1;0.0;289.0;68.0;656.0;518.0;5163.0;1081.0;74.0;2576.0;3297.0;6385.0;7898.0;16067.0;8501.0;27899.0;522.0;4.0;3235.0;11.0;2.0;0.0;1.0
5371.0;158500.0;391500.0;5;0.0;1605.0;179.0;1793.0;507.0;1041.0;2693.0;159.0;764.0;1937.0;10763.0;2392.0;8585.0;4190.0;31561.0;392.0;5.0;5372.0;51.0;6.0;0.0;1.0
5372.0;159500.0;391500.0;7;0.0;1200.0;278.0;847.0;623.0;2040.0;1897.0;166.0;855.0;2290.0;9901.0;2675.0;7724.0;3674.0;31736.0;135.0;5.0;4545.0;51.0;6.0;0.0;2.0
5373.0;160500.0;391500.0;1;0.0;290.0;205.0;334.0;39.0;2873.0;1204.0;8.0;293.0;1416.0;9067.0;3254.0;6899.0;2681.0;31943.0;205.0;5.0;3803.0;51.0;1.0;0.0;2.0
5374.0;161500.0;391500.0;1;0.0;0.0;781.0;285.0;409.0;2935.0;766.0;9.0;777.0;484.0;8270.0;3996.0;6127.0;1696.0;32178.0;308.0;-1.0;3203.0;20.0;18.0;0.0;2.0
5376.0;163500.0;391500.0;1;1.0;192.0;111.0;259.0;116.0;3325.0;116.0;116.0;1674.0;1070.0;6839.0;4641.0;4840.0;298.0;32737.0;278.0;5.0;2804.0;51.0;16.0;0.0;6.0
