rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lc;maxmeanhaz;maxstdhaz;exp
129.0;205107.093270901;610767.006062;1;8787.0;8203.0;8511.0;10727.0;10599.0;13385.0;11949.0;8506.0;25183.0;17296.0;18007.0;29982.0;10899.0;16380.0;254.0;5.0;7075.0;30.0;-99.0
130.0;205607.093370901;610767.006062;1;9308.0;8740.0;9049.0;10723.0;11141.0;13792.0;12051.0;9045.0;24872.0;17178.0;18404.0;30275.0;11432.0;16321.0;597.0;5.0;7615.0;30.0;-99.0
131.0;206107.093470901;610767.006062;5;9745.0;9207.0;9518.0;10495.0;11631.0;13666.0;12046.0;9514.0;24502.0;16970.0;18687.0;30445.0;11891.0;16165.0;1092.0;4.0;8111.0;17.0;-99.0
132.0;206607.093570901;610767.006062;2;10179.0;9658.0;9970.0;10364.0;12091.0;13441.0;12132.0;9966.0;24219.0;16857.0;19009.0;30672.0;12337.0;16103.0;1540.0;4.0;8571.0;17.0;-99.0
133.0;207107.093670901;610767.006062;1;10569.0;10054.0;10366.0;10317.0;12485.0;13305.0;12269.0;10362.0;24024.0;16821.0;19325.0;30915.0;12731.0;16113.0;1920.0;4.0;8962.0;17.0;-99.0
135.0;208107.093870901;610767.006062;1;2258.0;1838.0;1262.0;9603.0;982.0;9556.0;9556.0;1943.0;33700.0;24329.0;13470.0;26760.0;3533.0;22611.0;1076.0;4.0;2006.0;17.0;-99.0
136.0;208607.093970901;610767.006062;1;2294.0;1527.0;1191.0;9745.0;1102.0;9698.0;9698.0;1790.0;34165.0;24169.0;13705.0;27026.0;3540.0;22474.0;1088.0;4.0;1554.0;17.0;-99.0
139.0;210107.094270901;610767.006062;1;2076.0;1047.0;1075.0;9648.0;801.0;9602.0;9602.0;1467.0;33902.0;23766.0;13709.0;27057.0;3348.0;22091.0;1089.0;5.0;1002.0;17.0;-99.0
155.0;206107.093470901;610267.005962;3;1893.0;597.0;1091.0;9487.0;589.0;9441.0;9441.0;1217.0;33463.0;23362.0;13626.0;26988.0;3150.0;21700.0;1065.0;5.0;547.0;32.0;-99.0
156.0;206607.093570901;610267.005962;7;1855.0;336.0;1175.0;9431.0;620.0;9384.0;9384.0;1199.0;33055.0;23006.0;13647.0;27016.0;3098.0;21362.0;954.0;5.0;65.0;32.0;-99.0
157.0;207107.093670901;610267.005962;1;1823.0;341.0;1341.0;9389.0;899.0;9341.0;9341.0;1361.0;32631.0;22638.0;13680.0;27047.0;3117.0;21013.0;556.0;5.0;26.0;32.0;-99.0
160.0;208607.093970901;610267.005962;1;1909.0;361.0;1648.0;9372.0;1274.0;9325.0;9325.0;1665.0;32210.0;22275.0;13731.0;27086.0;3209.0;20670.0;432.0;5.0;66.0;32.0;-99.0
176.0;205107.093270901;609767.005862001;1;2099.0;514.0;1997.0;9381.0;1711.0;9334.0;9334.0;1816.0;31791.0;21917.0;13800.0;27135.0;3373.0;20334.0;464.0;5.0;107.0;32.0;-99.0
177.0;205607.093370901;609767.005862001;1;2380.0;488.0;1873.0;9414.0;2176.0;9367.0;9367.0;1876.0;31374.0;21565.0;13887.0;27193.0;3596.0;20005.0;216.0;5.0;147.0;32.0;-99.0
178.0;206076.399801218;609793.556801014;33;2725.0;719.0;1861.0;9471.0;2653.0;9425.0;9425.0;1862.0;30960.0;21219.0;13991.0;27260.0;3871.0;19683.0;463.0;5.0;187.0;45.0;-98.69206
311.0;174592.524122375;608214.067998404;1;3112.0;1114.0;1978.0;9552.0;3137.0;9506.0;9506.0;1976.0;30549.0;20879.0;14112.0;27336.0;4187.0;19369.0;399.0;5.0;227.0;45.0;-98.69206
321.0;179611.172336704;608158.81346259;1;3372.0;1570.0;2205.0;9477.0;3625.0;9612.0;9612.0;2201.0;30140.0;20546.0;14249.0;27421.0;4536.0;19062.0;82.0;5.0;279.0;45.0;24.834484
325.0;181611.940790616;608218.561379214;2;3560.0;2047.0;2512.0;9385.0;4116.0;9740.0;9713.0;2507.0;29734.0;20220.0;14403.0;27515.0;4911.0;18764.0;207.0;5.0;654.0;45.0;24.834484
327.0;182609.445333313;608263.379193647;1;3800.0;2533.0;2874.0;9315.0;4609.0;9889.0;9718.0;2868.0;29331.0;19901.0;14572.0;27618.0;5307.0;18475.0;51.0;5.0;1130.0;45.0;24.93006
329.0;183607.088970901;608267.005562001;1;4085.0;3012.0;3272.0;9268.0;5103.0;10060.0;9748.0;3266.0;28930.0;19589.0;14756.0;27729.0;5718.0;18194.0;28.0;5.0;1621.0;45.0;24.93006
341.0;189607.090170901;608267.005562001;1;4408.0;3421.0;3695.0;9243.0;5599.0;10252.0;9805.0;3688.0;28533.0;19286.0;14954.0;27849.0;6144.0;17924.0;67.0;5.0;2116.0;45.0;24.758709
374.0;247107.101670902;608267.005562001;1;4756.0;3852.0;4136.0;9242.0;6095.0;10461.0;9886.0;4128.0;28140.0;18990.0;15167.0;27977.0;6579.0;17663.0;423.0;5.0;2613.0;45.0;24.758709
