rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
13287.0;94500.0;440500.0;1;0.0;1503.0;69.0;286.0;321.0;2697.0;743.0;432.0;1849.0;11147.0;6495.0;442.0;23625.0;10969.0;295.0;195.0;5.0;2170.0;51.0;1.0;0.0;6.0
13289.0;96500.0;440500.0;2;1.0;872.0;323.0;652.0;155.0;2308.0;1447.0;155.0;1791.0;11279.0;5495.0;1162.0;24356.0;11956.0;629.0;159.0;2.0;2246.0;51.0;1.0;0.0;6.0
13290.0;97500.0;440500.0;1;1.0;7.0;799.0;112.0;16.0;2292.0;2373.0;176.0;2090.0;11498.0;4496.0;1688.0;25105.0;12944.0;1605.0;296.0;0.0;2687.0;34.0;23.0;35.40999984741211;6.0
13291.0;98500.0;440500.0;2;0.0;0.0;97.0;425.0;128.0;2673.0;3343.0;418.0;2683.0;11797.0;3496.0;2520.0;25871.0;13935.0;2593.0;190.0;1.0;3372.0;20.0;18.0;0.0;6.0
13292.0;99500.0;440500.0;0;0.0;10.0;440.0;0.0;317.0;3274.0;4275.0;317.0;3228.0;12171.0;2497.0;3442.0;26653.0;14926.0;3588.0;278.0;0.0;4186.0;40.0;18.0;0.0;6.0
13293.0;100500.0;440500.0;2;3.0;528.0;0.0;796.0;117.0;4037.0;5155.0;117.0;3791.0;12614.0;1500.0;3918.0;27449.0;15919.0;4586.0;566.0;5.0;4858.0;60.0;1.0;0.0;6.0
13294.0;101500.0;440500.0;1;0.0;21.0;781.0;518.0;243.0;4679.0;6072.0;157.0;4402.0;13116.0;512.0;4080.0;28257.0;16912.0;5584.0;425.0;1.0;3946.0;51.0;1.0;0.0;6.0
13299.0;106500.0;440500.0;1;0.0;66.0;0.0;175.0;557.0;5120.0;6286.0;664.0;3764.0;13673.0;162.0;4466.0;29078.0;17907.0;6582.0;467.0;0.0;3067.0;60.0;18.0;0.0;1.0
13300.0;107500.0;440500.0;0;0.0;0.0;810.0;485.0;8.0;5703.0;6611.0;375.0;3247.0;14278.0;1159.0;5024.0;29910.0;18901.0;7581.0;188.0;-1.0;2290.0;20.0;18.0;0.0;1.0
13303.0;110500.0;440500.0;0;0.0;82.0;207.0;268.0;435.0;6390.0;7019.0;144.0;2977.0;14925.0;2159.0;5704.0;30751.0;19785.0;8581.0;82.0;5.0;1754.0;51.0;1.0;0.0;6.0
